"Source:","C:\Users\LAPTOP HP\Desktop\Diseño mecatronico\Aprendiendo kicad\Aprendiendo kicad.kicad_sch"
"Date:","31/05/2024 16:57:14"
"Tool:","Eeschema (6.0.9)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","21"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","AE1","Antenna","Device:Antenna","RF_Antenna:Texas_SWRA117D_2.4GHz_Right","~"
"","","C1","10nf","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C2","33nf","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C3","1nf","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C4","22pf","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C5","22pf","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C6","2.2nf","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C7","1.5pf","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C8","4.7pf","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C10","1pf","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C11","CX","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C12","CX","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","J1","Conn_01x08_Male","Connector:Conn_01x08_Male","Connector_Hirose:Hirose_DF13-08P-1.25DSA_1x08_P1.25mm_Vertical","~"
"","","L1","8.2nH","Device:L","Inductor_SMD:L_0402_1005Metric","~"
"","","L2","3.9nH","Device:L","Inductor_SMD:L_0402_1005Metric","~"
"","","L3","2.7nH","Device:L","Inductor_SMD:L_0402_1005Metric","~"
"","","L4","LX","Device:L","Inductor_SMD:L_0402_1005Metric","~"
"","","R1","22k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~"
"","","R2","10M","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~"
"","","U1","NRF24L01","RF:NRF24L01","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","http://www.nordicsemi.com/eng/content/download/2730/34105/file/nRF24L01_Product_Specification_v2_0.pdf"
"","","Y1","16MHz","Device:Crystal","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","~"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","AE1","Antenna","Device:Antenna","RF_Antenna:Texas_SWRA117D_2.4GHz_Right","~"
"2","1","C1","10nf","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"3","1","C2","33nf","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"4","1","C3","1nf","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"5","2","C4, C5","22pf","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"6","1","C6","2.2nf","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"7","1","C7","1.5pf","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"8","1","C8","4.7pf","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"9","1","C10","1pf","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"10","2","C11, C12","CX","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"11","1","J1","Conn_01x08_Male","Connector:Conn_01x08_Male","Connector_Hirose:Hirose_DF13-08P-1.25DSA_1x08_P1.25mm_Vertical","~"
"12","1","L1","8.2nH","Device:L","Inductor_SMD:L_0402_1005Metric","~"
"13","1","L2","3.9nH","Device:L","Inductor_SMD:L_0402_1005Metric","~"
"14","1","L3","2.7nH","Device:L","Inductor_SMD:L_0402_1005Metric","~"
"15","1","L4","LX","Device:L","Inductor_SMD:L_0402_1005Metric","~"
"16","1","R1","22k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~"
"17","1","R2","10M","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~"
"18","1","U1","NRF24L01","RF:NRF24L01","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","http://www.nordicsemi.com/eng/content/download/2730/34105/file/nRF24L01_Product_Specification_v2_0.pdf"
"19","1","Y1","16MHz","Device:Crystal","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","~"
